name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e001	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e002	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e003	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e004	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e005	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e006	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e007	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e008	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e009	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e010	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e011	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e012	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e013	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e014	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e015	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e016	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e017	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e018	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e019	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	LM
e020	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e021	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e022	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e023	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e024	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e025	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e026	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e027	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e028	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Rad
e029	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e030	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e031	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e032	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e033	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e034	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e035	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e036	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e037	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e038	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e039	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e040	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e041	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e042	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e043	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e044	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e045	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e046	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e047	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e048	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e049	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e050	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e051	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e052	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e053	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	Or
e054	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e055	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e056	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e057	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e058	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e059	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e060	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e061	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e062	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e063	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e064	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank4	n/a
e001	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e002	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e003	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e004	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e005	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e006	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	n/a
e007	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LB
e008	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LB
e009	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LB
e010	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LB
e011	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LB
e012	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e013	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e014	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e015	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e016	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e017	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e018	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e019	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Hil
e020	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	GC
e021	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	GC
e022	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	GC
e023	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	GC
e024	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e025	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e026	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e027	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e028	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e029	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Mol
e030	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e031	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e032	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e033	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e034	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e035	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	LM
e036	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e037	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e038	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e039	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e040	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e041	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e042	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e043	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e044	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e045	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e046	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e047	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e048	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Rad
e049	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e050	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e051	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e052	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e053	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e054	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e055	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e056	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Pyr
e057	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e058	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e059	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e060	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e061	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e062	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e063	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e064	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank3	Or
e001	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	LB
e002	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	LB
e003	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	LB
e004	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	LB
e005	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	LB
e006	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e007	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e008	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e009	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e010	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e011	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e012	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e013	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e014	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e015	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e016	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e017	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Hil
e018	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e019	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e020	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e021	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e022	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e023	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	GC
e024	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Mol
e025	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Mol
e026	Masmanidis Probe	n/a	n/a	n/a	n/a	n/a	shank2	Mol
